"Choice";"Acronimo"
"Ecosistemas y Biodiversidad";"BIO"
"Cultura e Identidad";"CUL"
"Gestión del Riesgo de Desastres";"DES"
"Gestión Energética y ERNC";"ENE"
"Gestión y Seguridad Hídrica";"GSH"
"Educación y Difusión";"EYD"
"Protección Comunal y Fiscalización";"FIS"
"Gobernanza Climática, Fortalecimiento Institucional y Participación Ciudadana";"GOB"
"Infraestructura Sostenible y Cambio Climático";"INF"
"Gestión de Residuos y Economía Circular";"RES"
"Salud";"SAL"
"Sumideros de Carbono";"SUM"
"Transversal";"TRA"
"Transporte y Movilidad";"TYM"
"Áreas Verdes";"VER"
