"Pregunta";"Tipo";"Opciones_Acronimos"
"Plan";"Text Field";"N/A (Texto Libre)"
"Nombre Corto";"Text Field";"N/A (Texto Libre)"
"Eje";"Single Choice";"MIT | ADA | MDI | MIX | OTR"
"Área";"Single Choice";"BIO | CUL | DES | ENE | GSH | EYD | FIS | GOB | INF | RES | SAL | SUM | TRA | TYM | VER | OTR"
"Medida";"Text Field";"N/A (Texto Libre)"
"Objetivo";"Text Field";"N/A (Texto Libre)"
"Descripción";"Text Field";"N/A (Texto Libre)"
"Tipo de Medida";"Multiple Choice";"BP | F | FC | IO | IT | PP | SAM | SbN | OTR"
"Area de aplicación";"Text Field";"N/A (Texto Libre)"
"Año inicio";"Text Field";"N/A (Texto Libre)"
"Plazo ejecución";"Text Field";"N/A (Texto Libre)"
"Responsable";"Text Field";"N/A (Texto Libre)"
"Colaboradores internos";"Text Field";"N/A (Texto Libre)"
"Colaboradores externos";"Text Field";"N/A (Texto Libre)"
"Vinculación normativa";"Text Field";"N/A (Texto Libre)"
"Adecuaciones Normativas";"Text Field";"N/A (Texto Libre)"
"Tecnología, infraestructura y recursos necesarios";"Text Field";"N/A (Texto Libre)"
"Potenciales barreras y obstáculos";"Multiple Choice";"AMB | ADM | ECO | LEG | SOC | TEC | OTR | POL"
"Potenciales fuentes de financiamiento";"Multiple Choice";"CON | LOC | REG | NAC | PRI | CIU | OTR | MUN"
"Consideraciones de Genero";"Text Field";"N/A (Texto Libre)"
"Acciones";"Text Field";"N/A (Texto Libre)"
"Indicador";"Text Field";"N/A (Texto Libre)"
"Meta";"Text Field";"N/A (Texto Libre)"
"Escala Jurisdiccional";"Single Choice";"COM | REG | OTR"
